City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,crane,31.3974,-102.3501,30.96,17,0,7.99,US,1730068766
143,mogadishu,2.0371,45.3438,25.61,84,83,4.64,SO,1730068767
144,fortuna,40.5982,-124.1573,18.29,63,100,3.6,US,1730068768
145,mazatlan,23.2167,-106.4167,32.98,78,0,4.12,MX,1730068562
146,sinabang,2.4803,96.3801,25.77,84,82,1.05,ID,1730068770
147,deqen,29.9618,90.7188,-0.53,26,0,1.16,CN,1730068771
148,kodiak,57.79,-152.4072,6.73,49,0,0.0,US,1730068773
149,nogliki,51.8333,143.1667,-0.22,59,11,2.13,RU,1730068774
150,sept-iles,50.2001,-66.3821,2.0,64,20,5.14,CA,1730068775
151,qaqortoq,60.7167,-46.0333,0.32,99,100,1.3,GL,1730068776
152,mount isa,-20.7333,139.5,29.87,12,4,3.09,AU,1730068777
153,constantia,44.1833,28.65,9.28,85,5,5.03,RO,1730068778
154,stanley,54.868,-1.6985,9.01,93,20,3.09,GB,1730068779
155,pul-e 'alam,33.9953,69.0227,12.51,34,9,2.46,AF,1730068780
156,st. john's,47.5649,-52.7093,6.2,80,75,9.26,CA,1730068782
157,mili,6.0815,171.735,28.77,74,86,3.33,MH,1730068783
158,lihue,21.9789,-159.3672,26.36,86,17,6.04,US,1730068573
159,zhanaozen,43.3,52.8,6.63,62,99,2.93,KZ,1730068785
160,lazaro cardenas,17.9583,-102.2,29.19,76,0,4.31,MX,1730068786
161,arraial do cabo,-22.9661,-42.0278,22.28,71,99,4.99,BR,1730068787
162,hami,42.8,93.45,10.18,41,0,4.23,CN,1730068790
163,sumbe,-11.2061,13.8437,24.37,84,47,3.25,AO,1730068791
164,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,60,75,0.0,RU,1730068792
165,freetown,8.484,-13.2299,26.19,89,16,2.65,SL,1730068793
166,verkhnevilyuysk,63.4453,120.3167,-11.65,95,100,2.39,RU,1730068794
167,yakhroma,56.3,37.4833,6.63,92,100,2.17,RU,1730068795
168,zuunmod,47.7069,106.9528,-4.43,73,100,1.66,MN,1730068796
169,portland,45.5234,-122.6762,12.97,90,75,4.12,US,1730068267
170,talnakh,69.4865,88.3972,-12.65,95,100,5.19,RU,1730068799
171,cooma,-36.2333,149.1333,17.83,38,93,4.06,AU,1730068800
172,la libertad,-2.2333,-80.9,21.81,83,75,4.12,EC,1730068801
173,east end,34.5507,-92.341,22.11,77,32,1.64,US,1730068802
174,uturoa,-16.7333,-151.4333,25.2,73,70,6.17,PF,1730068803
175,sai buri,6.7013,101.6168,25.84,83,100,3.75,TH,1730068804
176,bogale,16.2833,95.4,23.67,92,75,2.84,MM,1730068807
177,vila franca do campo,37.7167,-25.4333,18.27,99,92,2.98,PT,1730068808
178,selfoss,63.9331,-20.9971,-3.86,74,75,3.53,IS,1730068809
179,dhari,21.3333,71.0167,23.74,64,67,2.79,IN,1730068810
180,thunder bay,48.4001,-89.3168,4.99,75,100,7.72,CA,1730068811
181,ketchikan,55.3422,-131.6461,8.99,87,100,3.6,US,1730068812
182,haiku-pauwela,20.9219,-156.3051,26.81,81,75,8.94,US,1730068813
183,hirado,33.3597,129.5531,19.42,70,99,8.18,JP,1730068814
184,kuta,-8.7233,115.1723,24.97,94,20,0.51,ID,1730068816
185,tolanaro,-25.0319,46.9987,25.04,88,40,9.26,MG,1730068817
186,brookings,44.3114,-96.7984,18.0,42,0,5.14,US,1730068747
187,morehead city,34.7229,-76.726,15.0,85,100,5.81,US,1730068819
188,rongelap,11.1635,166.8941,28.56,77,79,3.22,MH,1730068820
189,coquimbo,-29.9533,-71.3436,14.85,74,40,4.63,CL,1730068821
190,itaituba,-4.2761,-55.9836,30.05,32,79,1.41,BR,1730068822
191,utrik,11.2278,169.8474,28.59,76,97,3.66,MH,1730068825
192,lebu,-37.6167,-73.65,11.21,83,1,9.04,CL,1730068826
193,saudarkrokur,65.7461,-19.6394,-7.28,80,11,4.72,IS,1730068827
194,prince rupert,54.3161,-130.3201,9.05,81,100,1.03,CA,1730068765
195,sao jose da coroa grande,-8.8978,-35.1478,25.35,85,12,3.95,BR,1730068829
196,sisimiut,66.9395,-53.6735,-7.69,58,100,3.08,GL,1730068830
197,necochea,-38.5473,-58.7368,21.66,37,64,5.96,AR,1730068832
198,sao joao do paraiso,-15.3136,-42.0144,26.19,52,100,3.23,BR,1730068833
199,lubang,13.8584,120.124,28.16,77,55,4.82,PH,1730068834
200,mhamid,29.82,-5.72,21.55,30,55,2.09,MA,1730068835
201,mejit,10.2753,170.8646,28.63,75,8,4.37,MH,1730068836
202,balkanabat,39.5108,54.3671,10.58,58,0,1.66,TM,1730068837
203,magadan,59.5667,150.8,-8.33,48,79,3.53,RU,1730068838
204,mahina,-17.5065,-149.489,28.87,58,20,3.09,PF,1730068839
205,crucecita,-28.95,-58.9833,18.72,56,9,3.07,AR,1730068841
206,semiluki,51.6853,39.0279,6.25,93,75,0.0,RU,1730068842
207,dryden,49.7833,-92.7503,5.16,70,20,5.14,CA,1730068843
208,chokwe,-24.5333,32.9833,26.3,59,100,7.1,MZ,1730068844
209,talcahuano,-36.7167,-73.1167,17.82,59,0,7.2,CL,1730068845
210,cambria,35.5641,-121.0808,26.24,79,100,1.34,US,1730068847
211,daru,-9.0763,143.2092,25.55,92,100,1.76,PG,1730068849
212,mount gambier,-37.8333,140.7667,13.99,55,78,3.42,AU,1730068850
213,aasiaat,68.7098,-52.8699,-14.41,80,17,4.7,GL,1730068852
214,kerikeri,-35.2268,173.9474,17.98,49,87,4.37,NZ,1730068853
215,wamba,8.9333,8.6,23.13,55,13,1.7,NG,1730068854
216,geraldton,-28.7667,114.6,14.23,58,0,4.12,AU,1730068855
217,ormara,25.2088,64.6357,29.02,59,3,5.7,PK,1730068856
218,riohacha,11.5444,-72.9072,33.06,55,0,5.14,CO,1730068858
219,caleta de carquin,-11.0925,-77.6267,18.79,78,21,5.51,PE,1730068859
220,champerico,14.3,-91.9167,29.35,74,86,2.23,GT,1730068860
221,tucuma,-0.1833,-50.05,26.56,72,70,5.02,BR,1730068861
222,port alfred,-33.5906,26.891,17.6,47,14,7.08,ZA,1730068862
223,al jawf,29.5,38.75,17.66,72,0,5.22,SA,1730068863
224,nemuro,43.3236,145.575,13.11,85,100,6.01,JP,1730068864
225,punta del este,-34.9667,-54.95,19.06,80,0,4.92,UY,1730068866
226,sao miguel do tapuio,-5.5036,-41.3233,28.28,31,2,2.64,BR,1730068867
227,kavaratti,10.5669,72.642,27.61,72,94,1.82,IN,1730068868
228,cabo san lucas,22.8909,-109.9124,34.17,38,0,4.12,MX,1730068745
229,christchurch,-43.5333,172.6333,15.11,63,75,1.03,NZ,1730068372
230,broken hill,-31.95,141.4333,17.84,31,2,8.33,AU,1730068871
231,namtsy,62.7161,129.6658,-23.77,99,89,0.79,RU,1730068872
232,komsomolets,53.7453,62.0708,2.28,88,100,4.0,KZ,1730068873
233,fort st. john,56.2499,-120.8529,0.94,86,100,3.09,CA,1730068875
234,ambon,-3.6954,128.1814,30.58,100,96,3.58,ID,1730068876
235,kozani,40.3011,21.7864,7.38,61,17,2.06,GR,1730068881
236,feltre,46.0235,11.907,17.18,94,87,1.25,IT,1730068882
237,sambava,-14.2667,50.1667,22.3,94,46,2.48,MG,1730068883
238,taltal,-25.4,-70.4833,16.93,74,29,2.63,CL,1730068884
239,acapulco de juarez,16.8634,-99.8901,30.9,74,0,5.14,MX,1730068885
240,badger,64.8,-147.5333,-10.36,84,100,2.06,US,1730068886
241,san antonio de pale,-1.4014,5.6325,25.49,84,90,7.16,GQ,1730068887
242,nuku'alofa,-21.1333,-175.2,26.19,89,75,3.6,TO,1730068890
243,taounate,34.5,-4.8333,13.69,75,14,0.67,MA,1730068891
244,fuglafjordur,62.244,-6.814,4.27,74,96,2.44,FO,1730068892
245,chengde,40.9725,117.9361,4.95,61,0,0.93,CN,1730068894
246,wanning,18.8003,110.3967,24.69,92,100,3.54,CN,1730068895
247,klyuchi,52.2667,79.1667,5.82,69,100,3.91,RU,1730068897
248,piterka,50.6803,47.4454,6.53,73,100,2.65,RU,1730068898
249,hanover,52.3705,9.7332,10.44,98,14,1.54,DE,1730068899
250,antofagasta,-23.65,-70.4,16.6,83,20,2.71,CL,1730068900
251,malango,-2.9627,119.9001,21.74,79,9,0.26,ID,1730068901
